Years,Leaded,Unleaded 95,Unleaded 98,Normal,Diesel,FuelOil,Butane,Propane,Propane On-Demand
1960,0.02,,,0.02,0.01,N,,,
1961,0.03,,,0.02,0.01,N,,,
1962,0.03,,,0.03,0.01,N,,,
1963,0.03,,,0.03,0.01,N,,,
1964,0.03,,,0.03,0.01,N,,,
1965,0.03,,,0.03,0.01,N,,,
1966,0.03,,,0.03,0.01,N,,,
1967,0.03,,,0.03,0.01,N,0.03,0.03,
1968,0.03,,,0.03,0.01,N,0.03,0.03,
1969,0.03,,,0.03,0.01,N,0.03,0.03,
1970,0.03,,,0.03,0.01,N,0.03,0.03,
1971,0.03,,,0.03,0.01,N,0.03,0.03,
1972,0.03,,,0.03,0.01,N,0.03,0.03,
1973,0.03,,,0.03,0.01,N,0.03,0.03,
1974,0.06,,,0.05,0.02,0.01,0.04,0.04,0.04
1975,0.06,,,0.05,0.02,0.01,0.04,0.04,0.04
1976,0.09,,,0.08,0.02,0.01,0.05,0.05,0.06
1977,0.11,,,0.1,0.03,0.01,0.05,0.06,0.06
1978,0.13,,,0.12,0.04,0.02,0.08,0.08,0.09
1979,0.17,,,0.15,0.05,0.02,0.09,0.1,0.1
1980,0.22,,,0.2,0.09,0.04,0.11,0.12,0.12
1981,0.26,,,0.24,0.12,0.05,0.14,0.15,0.16
1982,0.3,,,0.28,0.15,0.07,0.16,0.16,0.17
1983,0.39,,,0.38,0.21,0.09,0.22,0.22,0.23
1984,0.48,,,0.46,0.28,0.12,0.31,0.31,0.32
1985,0.55,,,0.53,0.33,0.15,0.36,0.36,0.25
1986,0.56,,,0.54,0.34,0.13,0.35,0.35,0.36
1987,0.57,,,0.55,0.35,0.11,0.31,0.31,0.32
1988,0.59,0.59,,0.57,0.37,0.12,0.33,0.32,0.34
1989,0.62,0.61,,0.6,0.39,0.13,0.36,0.35,0.34
1990,0.68,0.66,,0.67,0.45,0.14,0.43,0.41,0.36
1991,0.73,0.69,,0.72,0.5,0.14,0.49,0.53,0.46
1992,0.73,0.68,,0.72,0.5,0.14,0.55,0.57,0.47
1993,0.75,0.7,0.76,0.74,0.51,0.14,0.6,0.62,0.53
1994,0.77,0.77,0.77,,0.52,0.13,0.61,0.64,0.55
1995,0.78,0.77,0.78,,0.52,0.13,0.62,0.69,0.58
1996,0.81,0.79,0.81,,0.56,0.14,0.63,0.71,0.64
1997,0.84,0.81,0.84,,0.57,0.16,0.73,0.85,0.73
1998,0.84,0.84,0.81,,0.56,0.14,0.73,0.85,0.72
1999,0.83,0.84,0.8,,0.56,0.17,0.73,0.85,0.74
2000,0.91,0.87,0.9,,0.68,0.27,0.86,1.02,0.92
2001,0.95,0.91,0.95,,0.68,0.26,0.97,1.18,1.04
2002,0.97,0.92,0.97,,0.67,0.26,0.93,1.11,1.01
2003,1.02,0.97,1.02,,0.71,0.29,0.99,1.19,1.12
2004,1.09,1.03,1.1,,0.79,0.27,1.03,1.24,1.2
2005,1.21,1.15,1.22,,0.94,0.35,1.17,1.4,1.34
2006,1.35,1.28,1.35,,1.04,0.41,1.36,1.7,1.58
2007,1.39,1.32,1.41,,1.08,0.44,1.39,1.7,1.66
2008,1.46,1.39,1.48,,1.26,0.55,1.58,1.91,1.87
2009,1.31,1.24,1.32,,1,0.45,1.33,1.6,1.67
2010,1.48,1.37,1.44,,1.15,0.59,1.6,1.95,1.89
2011,1.65,1.55,1.61,,1.37,0.75,1.84,2.27,2.08
2012,1.75,1.64,1.72,,1.45,0.85,1.87,2.27,2.14
2013,1.72,1.58,1.66,,1.39,0.8,1.96,2.31,2.05
2014,1.68,1.52,1.61,,1.3,0.76,1.85,2.18,1.97
2015,1.59,1.43,1.49,,1.21,0.58,1.62,1.91,1.9
